fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
0.7469034915654076,-0.5336790438370745,-0.34787185058058984,-1.529815555579579,-1.0105256353937313,-1.5478737285029978,-1.8168014025797046,-0.7623531347903935,0.5327054630626425,-1.103717118298726,-1.9385665806064238
0.24977467847637935,-0.45148867206453647,-0.7896319533717602,-1.535074578833087,-0.0019618585636220695,-1.612669587948546,-2.1262416893579936,-0.8787124301593477,0.00751659204290233,-0.956764301936821,-2.4461076953763743
-0.993047354246192,1.1238267869091096,-2.0629404849463095,-1.4220055788826587,-0.8264227237501398,-1.612669587948546,-2.1462055788275607,-1.1114310208972566,2.750169585145993,-1.177193526479678,-0.5005334220915645
0.24977467847637935,-0.9172341121089187,-0.9715331721681243,-1.566628718354137,-0.4422079516243841,-1.2368536031643662,-1.806819457844921,-0.9684753151582557,1.2913116100911568,-0.39344517254951983,-1.1772549084514976
-0.6202007444294204,0.6717797421601502,-2.0109687081473484,-1.4667072765374793,-0.9304808912008653,-1.5997104160594364,-2.1761514130319113,-0.9186070457144129,1.8748548001130918,-1.2996542067812653,-0.2467628647065886
-0.9101925520646874,2.206000015247527,-2.0629404849463095,-1.535074578833087,-0.5062437469786766,-1.612669587948546,-2.1961153025014784,-1.2643603805250352,1.9915634381174787,-1.5200834313241223,-0.33135305050158004
-1.2416117607907065,0.11014553504780673,-2.0629404849463095,-1.582405788114662,0.5343379275285788,-1.47011869716834,-1.996476407805808,-1.2685160696453548,0.9411856960779957,-1.2506699346606305,-1.2618450942464892
-1.0344747553369444,0.5621925797967661,-1.9330110429489062,-1.535074578833087,-1.1145838028444566,-1.4182820096119013,-1.7968375131101377,-1.0740298188143813,0.8828313770758035,-1.1527013904193606,-1.346435280041482
-1.1173295575184494,0.274526278592883,-1.9330110429489062,-1.3457497417067883,-0.9464898400394385,-1.6385879317267653,-2.1462055788275607,-0.9884226229357929,1.4080202480955437,-1.2261777986003128,-0.9234843510665233
-1.2830391618814587,-0.04053681320184618,-2.0109687081473484,-1.5508516485936121,-0.9785077377165848,-1.5997104160594364,-2.1661694682971278,-1.1612992903410995,2.283335033128445,-0.956764301936821,-1.1349598155540028
